folder                                                   depart                  split  number  annotated_number  ckpt_data_number  is_uploaded  ckpt_status  notes       path                                                                                                                                  
Kaoshsiung_76152_retrieval_curated_t220_part5_2          Kaohsiung-full-dataset  <NA>     <NA>             2,917               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part5_2    
Kaoshsiung_76152_retrieval_curated_t220_part5_3          Kaohsiung-full-dataset  <NA>     <NA>             2,953               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part5_3    
Kaoshsiung_76152_retrieval_curated_t220_part5_4          Kaohsiung-full-dataset  <NA>     <NA>               978               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part5_4    
Kaoshsiung_76152_retrieval_curated_t220_part6_1          Kaohsiung-full-dataset  <NA>     <NA>             2,959               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part6_1    
Kaoshsiung_76152_retrieval_curated_t220_part6_2          Kaohsiung-full-dataset  <NA>     <NA>             2,962               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part6_2    
Kaoshsiung_76152_retrieval_curated_t220_part6_3          Kaohsiung-full-dataset  <NA>     <NA>             1,111               nan  True         ckpt1        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Kaohsiung-full-dataset/20241231/Kaoshsiung_76152_retrieval_curated_t220_part6_3    
Sports_Development_20241223_curated_t4-revised           Sports_Development      <NA>     <NA>             1,483               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20241223/Sports_Development_20241223_curated_t4-revised         
Sports_Development_20250213_image_list_keep_0.95         Sports_Development      <NA>     <NA>             2,965               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Sports_Development/20250213/Sports_Development_20250213_image_list_keep_0.95       
Mass_Rapid_Transit_20250213_curated_t7                   Mass_Rapid_Transit      <NA>     <NA>             7,197               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Mass_Rapid_Transit/20250213/Mass_Rapid_Transit_20250213_curated_t7                 
Public_Works_20250206_curated_t4                         Public_Works            <NA>     <NA>             7,628               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Public_Works/20250206/Public_Works_20250206_curated_t4                             
China_Steel_20250226_image_list_keep_0.95                China_Steel             <NA>     <NA>               350               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/China_Steel/20250226/China_Steel_20250226_image_list_keep_0.95                     
Water_Resources_20250213_curated_t1                      Water_Resources         <NA>     <NA>             3,289               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Water_Resources/20250213/Water_Resources_20250213_curated_t1                       
Transportation_20250115_curated_t4                       Transportation          <NA>     <NA>             2,763               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Transportation/20250115/Transportation_20250115_curated_t4                         
Ports_Corporation_20250124_curated_t14                   Ports_Corporation       <NA>     <NA>             6,845               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Ports_Corporation/20250124/Ports_Corporation_20250124_curated_t14                  
Linker_Vision_Data_V3_curated_t6_new                     Linker_Vision_Data_V3   <NA>     <NA>            10,151               nan  True         ckpt2        deprecated  /mnt/data-home/mobility-multimodal/vlm-annotations/Linker_Vision_Data_V3/Linker_Vision_Data_V3_curated_t6_new                         
